Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
31/12/2015 00:00,426.09,433.89,419.99,430.89,6634.86,2833319.7,427.04
01/01/2016 00:00,430.89,436,427.2,433.82,3788.11,1640577.93,433.09
02/01/2016 00:00,434.87,435.99,430.42,433.55,2972.06,1287773.39,433.29
03/01/2016 00:00,433.2,434.09,424.06,431.04,4571.1,1959152.6,428.6
04/01/2016 00:00,431.54,435.86,428.44,434.17,5717.6,2474772.5,432.83
05/01/2016 00:00,433.31,435.39,429.5,432.43,3881.72,1677111.44,432.05
06/01/2016 00:00,432.45,432.67,426.54,429.56,5507.61,2369036.46,430.14
07/01/2016 00:00,429.99,459.16,429.25,457,16833.42,7536413.29,447.71
08/01/2016 00:00,456.87,465,444.51,452.7,10258.99,4654977.99,453.75
09/01/2016 00:00,452.02,454,446.68,448.84,4396.05,1976929.79,449.71
10/01/2016 00:00,448.84,449.89,440.8,448.79,4078.61,1813405.06,444.61
11/01/2016 00:00,448.2,451.13,438,448,7986.46,3557149.61,445.4
12/01/2016 00:00,448,448,434.35,434.85,6930.9,3067862.76,442.64
13/01/2016 00:00,434.78,438.35,424.5,432.64,10067.02,4327468.86,429.87
14/01/2016 00:00,432.64,434,427,429.55,4420.91,1903623.77,430.6
15/01/2016 00:00,429.55,429.8,360,360,37326.7,14756284.24,395.33
16/01/2016 00:00,360.62,392.07,352,386.91,25019.25,9314016.2,372.27
17/01/2016 00:00,387.8,391.14,376,380.16,8416.94,3222126.45,382.81
18/01/2016 00:00,379.94,388.5,373.63,385.49,7015.53,2680282.37,382.05
19/01/2016 00:00,385.47,386.92,375.59,376.76,7223,2758289.78,381.88
20/01/2016 00:00,376.9,422.98,372.53,416.32,25172.92,10071637.71,400.1
21/01/2016 00:00,418.9,421.25,404.59,409.59,9414.56,3886595.68,412.83
22/01/2016 00:00,409.42,410.07,374.45,382.55,14744.76,5747610.6,389.81
23/01/2016 00:00,382.85,395,381.05,386.4,7664.89,2974351.32,388.05
24/01/2016 00:00,386.37,405.97,385.36,402.16,5448.85,2176476.21,399.44
25/01/2016 00:00,402.16,402.31,385.5,390.9,8040.83,3169083.78,394.12
26/01/2016 00:00,390.1,397.7,386.2,391.77,6589.15,2585992.59,392.46
27/01/2016 00:00,391.77,397,390.31,394.95,4262.63,1680905.77,394.34
28/01/2016 00:00,394.62,395.56,376,379.75,11414.05,4361450.24,382.11
29/01/2016 00:00,379.55,383.99,363.73,378.22,13544.15,5084544.75,375.41
30/01/2016 00:00,378.12,380.42,372.95,375.64,2587.11,975585.61,377.1
31/01/2016 00:00,376.38,379.3,364.7,368.49,4166.67,1559953.4,374.39
01/02/2016 00:00,368.49,378.2,366.53,371.81,7255.13,2703288,372.6
02/02/2016 00:00,371.79,375,369.73,373.05,5719.11,2133603.92,373.07
03/02/2016 00:00,373.05,374,365,368.38,7107.79,2631356.07,370.21
04/02/2016 00:00,368.4,391.88,367.95,387.82,13446.48,5138708.84,382.16
